French,English
partie,part
histoire,history
police,police
genre,kind
laisser,let
mettre,to put
laisse,leash
chaque,each
arrivé,come
bébé,baby
heures,hours
aucune,any
parle,speak
étaient,were
voici,here is
pourrais,could
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
tiens,here
point,point
suite,after
venez,come
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
nouvelle,new
dirait,would say
compte,account
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
